OBJECTID,Codigo,Provincia,Total,Anio,TipoEmpresa,cod,Shape__Area,Shape__Length,TipoHipoteca,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12
1.0,1.0,Araba/Álava,904.0,2016,Sociedad_Anonima,1.0,5558819816.938479,899065.384760544,Importe_hipotecas,42049.0,58207.0,37599.0,28861.0,53815.0,28969.0,29093.0,10882.0,35943.0,24863.0,31523.0,22448.0
2.0,2.0,Albacete,517.0,2016,Sociedad_Anonima,2.0,24628869196.6688,982714.9831766171,Importe_hipotecas,24405.0,33548.0,32004.0,53877.0,36052.0,29174.0,14807.0,21081.0,28983.0,17582.0,15614.0,20038.0
3.0,3.0,Alicante,1701.0,2016,Sociedad_Anonima,3.0,9507175453.60967,698396.737290055,Importe_hipotecas,133189.0,161711.0,125561.0,131667.0,176577.0,119273.0,111577.0,101007.0,149818.0,129622.0,133759.0,120271.0
4.0,4.0,Almería,643.0,2016,Sociedad_Anonima,4.0,13855293063.9255,764383.039721032,Importe_hipotecas,47257.0,49952.0,55821.0,53065.0,61880.0,57270.0,49836.0,59935.0,74116.0,69916.0,91028.0,55519.0
5.0,5.0,Ávila,139.0,2016,Sociedad_Anonima,5.0,13966290552.5479,825947.5261177691,Importe_hipotecas,4556.0,16093.0,5610.0,7279.0,8000.0,6869.0,7504.0,5365.0,6729.0,6223.0,8251.0,5265.0
6.0,6.0,Badajoz,673.0,2016,Sociedad_Anonima,6.0,35803975339.5203,1452266.34287763,Importe_hipotecas,45261.0,44288.0,40596.0,39142.0,38841.0,44443.0,35441.0,46934.0,30842.0,29527.0,31349.0,31263.0
7.0,7.0,"Balears, Illes",2434.0,2016,Sociedad_Anonima,7.0,8397658655.339479,1885856.05039272,Importe_hipotecas,247539.0,212765.0,149036.0,187545.0,217904.0,263290.0,245244.0,212718.0,194959.0,163761.0,198949.0,165636.0
8.0,8.0,Barcelona,15370.0,2016,Sociedad_Anonima,8.0,13892170189.5469,1078129.1918187,Importe_hipotecas,559079.0,665280.0,582308.0,609564.0,612162.0,691992.0,629204.0,499143.0,1073864.0,507055.0,519746.0,523599.0
9.0,9.0,Burgos,696.0,2016,Sociedad_Anonima,9.0,26203492774.134,1530155.70044239,Importe_hipotecas,38356.0,24163.0,30635.0,44879.0,27449.0,24468.0,30836.0,29038.0,30923.0,34677.0,44078.0,16696.0
10.0,10.0,Cáceres,348.0,2016,Sociedad_Anonima,10.0,33620075321.1089,1242300.63638205,Importe_hipotecas,22903.0,20288.0,19620.0,17308.0,27422.0,16252.0,10850.0,14486.0,45780.0,16678.0,32206.0,15467.0
11.0,11.0,Cádiz,840.0,2016,Sociedad_Anonima,11.0,11546868058.7637,895286.367485857,Importe_hipotecas,73126.0,97865.0,81438.0,84115.0,95067.0,112183.0,90555.0,105183.0,83413.0,62958.0,93232.0,59191.0
12.0,12.0,Castellón/Castelló,778.0,2016,Sociedad_Anonima,12.0,11396498994.3888,689218.0799780571,Importe_hipotecas,35056.0,60728.0,32164.0,56218.0,30931.0,43615.0,24891.0,27217.0,34600.0,23624.0,32230.0,28458.0
13.0,13.0,Ciudad Real,456.0,2016,Sociedad_Anonima,13.0,32784774691.1465,1226477.61440341,Importe_hipotecas,18468.0,13348.0,19613.0,25624.0,27892.0,24033.0,21626.0,18155.0,16443.0,14423.0,18876.0,15271.0
14.0,14.0,Córdoba,682.0,2016,Sociedad_Anonima,14.0,22210490613.4485,1035879.20411489,Importe_hipotecas,39599.0,93902.0,42130.0,63550.0,69595.0,56813.0,77359.0,58171.0,74127.0,50844.0,49095.0,47259.0
15.0,15.0,"Coruña, A",1297.0,2016,Sociedad_Anonima,15.0,14932452746.9961,1672703.78439944,Importe_hipotecas,74748.0,62255.0,47979.0,69076.0,54809.0,68234.0,62582.0,56378.0,58690.0,44404.0,55203.0,53464.0
16.0,16.0,Cuenca,226.0,2016,Sociedad_Anonima,16.0,29155970159.0682,1004195.48622818,Importe_hipotecas,9250.0,7660.0,9862.0,18241.0,8328.0,11229.0,8608.0,5722.0,14214.0,13306.0,8747.0,11055.0
17.0,17.0,Girona,1722.0,2016,Sociedad_Anonima,17.0,10752045126.223,1070140.38049906,Importe_hipotecas,75972.0,90444.0,65183.0,95640.0,123317.0,157701.0,68362.0,69521.0,83009.0,57205.0,54746.0,73666.0
18.0,18.0,Granada,725.0,2016,Sociedad_Anonima,18.0,20029967206.933,901313.088636386,Importe_hipotecas,74663.0,70521.0,56875.0,57828.0,62548.0,68412.0,48808.0,69801.0,88720.0,51108.0,63934.0,57005.0
